0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00001,00007,00005,00002,00006,00004,00008,00003,00009,00010,00011,00013,00012,00014,00016,00015,00017,00019,00018,00022,00023,00021,00024,00020,00025,00026,00027,00030,00031,00028,00032,00029,00033,00034,00036,00037,00035,00038,00039,00040,00041,00042,00043,00044,00045,00046,00047,00048,00049,00050,00051,00052,00053,00054,00055,00056,00057,00058,00059,00060,00061,00062,00063,00064,00065,00066,00067,00068,00069,00070,00071,00072,00073,00074,00075,00076,00077,00078,00079,00080,00081,00082,00083,00084,00085,00086,00087,00088,00089,00090,00091,00092,00093,00094,00095,00096,00097,00098,00099,00100,00101,00102,00103,00104,00106,00105,00107,00108,00109,00110,00111,00112,00113,00114,00115,00116,00117,00118,00119,00120,00121,00122,00123,00124,00125,00126,00127,00128,00129,00130,00131,00133,00132,00134,00135,00136,00137,00138,00139,00140,00141,00142,00143,00144,00145,00146,00147,00148,00149,00150,00151,00152,00153,00154,00155,00156,00157,00158,00159,00160,00161,00162,00163,00164,00165,00166,00167,00168,00169,00170,00171,00172,00173,00174,00175,00176,00177,00178,00179,00180,00181,00182,00183,00184,00185,00186,00187,00188,00189,00190,00191,00192,00193,00194,00195,00196,00197,00198,00199,00200,00201,00202,00203,00204,00205,00206,00207,00208,00209,00210,00211,00212,00213,00214,00215,00216,00217,00218,00219,00220,00221,00222,00223,00224,00225,00226,00227,00228,00229,00230,00231,00232,00233,00234,00235,00237,00236,00239,00238,00240,00241,00242,00243,00244,00245,00246,00247,00248,00249,00250,00251,00252,00253,00254,00255,00256,00257,00258,00259,00260,00261,00262,00263,00264,00265,00266,00267,00268,00269,00270,00271,00272,00273,00274,00275,00276,00277,00278,00279,00280,00281,00282,00284,00283,00285,00286,00287,00288,00289,00290,00291,00292,00293,00294,00295,00296,00297,00298,00299,00300,00301,00302,00303,00304,00305,00306,00307,00308,00309,00310,00311,00312,00313,00314,00315,00316,00317,00318,00319,00320,00321,00322,00323,00324,00325,00326,00327,00328,00329,00330,00331,00332,00333,00334,00335,00336,00337,00338,00339,00340,00341,00342,00343,00344,00345,00346,00347,00348,00349,00350,00351,00352,00353,00354,00355,00356,00357,00358,00359,00360,00361,00362,00363,00364,00365,00366,00367,00368,00369,00370,00371,00372,00373,00374,00375,00376,00377,00378,00379,00381,00380,00382,00383,00384,00385,00386,00387,00388,00389,00390,00391,00392,00393,00394,00395,00396,00397,00398,00399,00400,00401,00402,00403,00404,00405,00406,00407,00408,00409,00410,00411,00412,00413,00414,00415,00416,00417,00418,00419,00420,00421,00422,00423,00424,00425,00426,00427,00428,00429,00430,00432,00431,00433,00434,00435,00436,00437,00438,00439
01/08/2017,15/08/2017,10/08/2017,03/08/2017,12/08/2017,08/08/2017,17/08/2017,05/08/2017,19/08/2017,22/08/2017,24/08/2017,29/08/2017,26/08/2017,31/08/2017,05/09/2017,02/09/2017,07/09/2017,12/09/2017,09/09/2017,19/09/2017,21/09/2017,16/09/2017,23/09/2017,14/09/2017,26/09/2017,28/09/2017,30/09/2017,07/10/2017,10/10/2017,03/10/2017,12/10/2017,05/10/2017,14/10/2017,17/10/2017,21/10/2017,24/10/2017,19/10/2017,26/10/2017,28/10/2017,31/10/2017,02/11/2017,04/11/2017,07/11/2017,09/11/2017,11/11/2017,14/11/2017,16/11/2017,18/11/2017,21/11/2017,23/11/2017,25/11/2017,28/11/2017,30/11/2017,02/12/2017,05/12/2017,07/12/2017,09/12/2017,12/12/2017,14/12/2017,16/12/2017,19/12/2017,21/12/2017,23/12/2017,26/12/2017,28/12/2017,30/12/2017,02/01/2018,04/01/2018,06/01/2018,09/01/2018,11/01/2018,13/01/2018,16/01/2018,18/01/2018,20/01/2018,23/01/2018,25/01/2018,27/01/2018,30/01/2018,01/02/2018,03/02/2018,06/02/2018,08/02/2018,10/02/2018,13/02/2018,17/02/2018,20/02/2018,22/02/2018,24/02/2018,27/02/2018,01/03/2018,03/03/2018,06/03/2018,08/03/2018,10/03/2018,13/03/2018,15/03/2018,17/03/2018,20/03/2018,22/03/2018,24/03/2018,27/03/2018,29/03/2018,31/03/2018,05/04/2018,03/04/2018,07/04/2018,10/04/2018,12/04/2018,14/04/2018,17/04/2018,19/04/2018,21/04/2018,24/04/2018,26/04/2018,28/04/2018,01/05/2018,03/05/2018,05/05/2018,08/05/2018,10/05/2018,12/05/2018,15/05/2018,17/05/2018,19/05/2018,22/05/2018,24/05/2018,26/05/2018,29/05/2018,31/05/2018,02/06/2018,07/06/2018,05/06/2018,09/06/2018,12/06/2018,14/06/2018,16/06/2018,19/06/2018,21/06/2018,23/06/2018,26/06/2018,28/06/2018,30/06/2018,03/07/2018,05/07/2018,07/07/2018,10/07/2018,12/07/2018,14/07/2018,17/07/2018,19/07/2018,21/07/2018,24/07/2018,26/07/2018,28/07/2018,31/07/2018,02/08/2018,04/08/2018,07/08/2018,09/08/2018,11/08/2018,14/08/2018,16/08/2018,18/08/2018,21/08/2018,23/08/2018,25/08/2018,28/08/2018,30/08/2018,01/09/2018,04/09/2018,06/09/2018,08/09/2018,11/09/2018,13/09/2018,15/09/2018,18/09/2018,20/09/2018,22/09/2018,25/09/2018,27/09/2018,29/09/2018,02/10/2018,04/10/2018,06/10/2018,09/10/2018,11/10/2018,13/10/2018,16/10/2018,18/10/2018,20/10/2018,23/10/2018,25/10/2018,27/10/2018,30/10/2018,01/11/2018,03/11/2018,06/11/2018,08/11/2018,10/11/2018,13/11/2018,15/11/2018,17/11/2018,20/11/2018,22/11/2018,24/11/2018,27/11/2018,29/11/2018,01/12/2018,04/12/2018,06/12/2018,08/12/2018,11/12/2018,13/12/2018,15/12/2018,18/12/2018,20/12/2018,22/12/2018,25/12/2018,27/12/2018,29/12/2018,01/01/2019,03/01/2019,05/01/2019,08/01/2019,10/01/2019,12/01/2019,15/01/2019,17/01/2019,19/01/2019,22/01/2019,24/01/2019,26/01/2019,29/01/2019,31/01/2019,07/02/2019,02/02/2019,12/02/2019,09/02/2019,14/02/2019,16/02/2019,19/02/2019,21/02/2019,23/02/2019,26/02/2019,28/02/2019,02/03/2019,05/03/2019,07/03/2019,09/03/2019,12/03/2019,14/03/2019,16/03/2019,19/03/2019,21/03/2019,23/03/2019,26/03/2019,28/03/2019,30/03/2019,02/04/2019,04/04/2019,06/04/2019,09/04/2019,11/04/2019,13/04/2019,16/04/2019,18/04/2019,20/04/2019,23/04/2019,25/04/2019,27/04/2019,30/04/2019,02/05/2019,04/05/2019,07/05/2019,09/05/2019,11/05/2019,14/05/2019,16/05/2019,18/05/2019,21/05/2019,23/05/2019,28/05/2019,25/05/2019,30/05/2019,01/06/2019,04/06/2019,06/06/2019,08/06/2019,11/06/2019,13/06/2019,15/06/2019,18/06/2019,20/06/2019,22/06/2019,25/06/2019,27/06/2019,29/06/2019,02/07/2019,04/07/2019,06/07/2019,09/07/2019,11/07/2019,13/07/2019,16/07/2019,18/07/2019,20/07/2019,23/07/2019,25/07/2019,27/07/2019,30/07/2019,01/08/2019,03/08/2019,06/08/2019,08/08/2019,10/08/2019,13/08/2019,15/08/2019,17/08/2019,20/08/2019,22/08/2019,24/08/2019,27/08/2019,29/08/2019,31/08/2019,03/09/2019,05/09/2019,07/09/2019,10/09/2019,12/09/2019,14/09/2019,17/09/2019,19/09/2019,21/09/2019,24/09/2019,26/09/2019,28/09/2019,01/10/2019,03/10/2019,05/10/2019,08/10/2019,10/10/2019,12/10/2019,15/10/2019,17/10/2019,19/10/2019,22/10/2019,24/10/2019,26/10/2019,29/10/2019,31/10/2019,02/11/2019,05/11/2019,07/11/2019,09/11/2019,12/11/2019,14/11/2019,16/11/2019,19/11/2019,21/11/2019,23/11/2019,26/11/2019,28/11/2019,30/11/2019,03/12/2019,05/12/2019,07/12/2019,10/12/2019,12/12/2019,14/12/2019,17/12/2019,19/12/2019,21/12/2019,24/12/2019,26/12/2019,28/12/2019,31/12/2019,02/01/2020,04/01/2020,09/01/2020,07/01/2020,11/01/2020,14/01/2020,16/01/2020,18/01/2020,21/01/2020,23/01/2020,28/01/2020,30/01/2020,01/02/2020,04/02/2020,06/02/2020,08/02/2020,11/02/2020,13/02/2020,15/02/2020,18/02/2020,20/02/2020,22/02/2020,25/02/2020,27/02/2020,29/02/2020,03/03/2020,05/03/2020,07/03/2020,10/03/2020,12/03/2020,14/03/2020,17/03/2020,19/03/2020,21/03/2020,24/03/2020,26/03/2020,28/03/2020,31/03/2020,25/04/2020,28/04/2020,30/04/2020,02/05/2020,05/05/2020,07/05/2020,09/05/2020,12/05/2020,14/05/2020,16/05/2020,19/05/2020,21/05/2020,23/05/2020,26/05/2020,28/05/2020,02/06/2020,30/05/2020,04/06/2020,06/06/2020,09/06/2020,11/06/2020,13/06/2020,16/06/2020,18/06/2020
1,15,10,3,12,8,17,5,19,22,24,29,26,31,5,2,7,12,9,19,21,16,23,14,26,28,30,7,10,3,12,5,14,17,21,24,19,26,28,31,2,4,7,9,11,14,16,18,21,23,25,28,30,2,5,7,9,12,14,16,19,21,23,26,28,30,2,4,6,9,11,13,16,18,20,23,25,27,30,1,3,6,8,10,13,17,20,22,24,27,1,3,6,8,10,13,15,17,20,22,24,27,29,31,5,3,7,10,12,14,17,19,21,24,26,28,1,3,5,8,10,12,15,17,19,22,24,26,29,31,2,7,5,9,12,14,16,19,21,23,26,28,30,3,5,7,10,12,14,17,19,21,24,26,28,31,2,4,7,9,11,14,16,18,21,23,25,28,30,1,4,6,8,11,13,15,18,20,22,25,27,29,2,4,6,9,11,13,16,18,20,23,25,27,30,1,3,6,8,10,13,15,17,20,22,24,27,29,1,4,6,8,11,13,15,18,20,22,25,27,29,1,3,5,8,10,12,15,17,19,22,24,26,29,31,7,2,12,9,14,16,19,21,23,26,28,2,5,7,9,12,14,16,19,21,23,26,28,30,2,4,6,9,11,13,16,18,20,23,25,27,30,2,4,7,9,11,14,16,18,21,23,28,25,30,1,4,6,8,11,13,15,18,20,22,25,27,29,2,4,6,9,11,13,16,18,20,23,25,27,30,1,3,6,8,10,13,15,17,20,22,24,27,29,31,3,5,7,10,12,14,17,19,21,24,26,28,1,3,5,8,10,12,15,17,19,22,24,26,29,31,2,5,7,9,12,14,16,19,21,23,26,28,30,3,5,7,10,12,14,17,19,21,24,26,28,31,2,4,9,7,11,14,16,18,21,23,28,30,1,4,6,8,11,13,15,18,20,22,25,27,29,3,5,7,10,12,14,17,19,21,24,26,28,31,25,28,30,2,5,7,9,12,14,16,19,21,23,26,28,2,30,4,6,9,11,13,16,18
8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6
2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
05,07,10,04,06,19,11,01,07,10,05,04,17,08,01,05,04,06,01,03,09,09,07,22,14,20,04,31,29,21,05,01,14,01,04,01,06,02,13,07,03,02,19,02,12,20,01,11,05,01,02,02,05,09,27,03,05,06,11,05,02,22,07,07,07,08,04,01,04,18,04,03,06,12,02,03,01,21,15,01,12,01,21,08,09,16,01,11,05,08,04,04,02,14,09,01,15,03,11,01,01,09,05,03,07,20,12,01,04,02,02,04,16,17,23,12,01,23,16,03,02,01,03,13,33,04,24,07,09,03,05,11,11,09,04,03,14,16,02,06,17,11,03,30,04,02,06,08,04,05,11,07,11,21,11,01,06,11,03,24,16,29,06,07,09,14,10,02,05,02,08,04,09,13,04,02,08,03,01,02,08,03,03,03,05,10,05,12,05,01,02,01,16,08,01,03,14,19,22,03,03,13,12,09,17,03,03,10,03,10,09,03,01,02,14,01,08,03,03,05,08,02,23,10,03,12,07,04,13,13,01,31,20,15,10,20,11,01,02,08,05,12,03,16,08,04,01,01,02,18,09,18,10,08,07,03,15,03,03,01,16,01,10,01,09,16,07,08,20,16,01,03,02,01,03,19,06,06,08,06,11,13,15,04,17,10,18,10,02,02,06,13,24,09,01,03,09,06,02,04,05,04,06,05,04,04,15,05,03,02,03,01,13,09,01,07,04,19,09,10,04,19,16,10,13,13,20,07,06,18,10,03,02,02,12,07,04,05,04,10,08,04,21,09,05,01,02,09,18,12,18,02,03,01,01,10,09,06,19,21,07,07,01,08,21,09,07,05,01,03,04,18,05,03,05,10,02,12,04,17,08,08,03,10,13,14,09,01,12,02,06,13,09,04,25,26,27,01,07,05,03,09,14,08,05,23,02,12,01,03,10,03,07,01,12,04,04,12,02,01,09,18,01,07,19,05,02,04,11,01,04,12,06,08,01,03,07,02,05
10,11,11,09,16,36,12,05,11,24,16,12,25,20,02,09,18,10,15,32,12,12,08,23,15,27,17,34,33,31,08,03,18,26,09,02,15,10,18,13,09,08,32,03,26,24,16,12,08,02,09,19,13,37,38,14,34,07,12,23,03,23,08,11,18,09,07,07,11,25,07,21,27,24,07,10,10,26,19,07,29,20,22,10,25,22,02,14,07,16,05,10,06,17,20,02,20,14,40,08,30,13,27,07,09,21,24,22,29,10,10,17,18,18,26,19,07,27,32,16,06,09,06,31,35,05,25,12,13,15,07,16,21,23,13,15,15,17,08,08,18,31,12,32,15,30,10,15,19,14,13,31,18,24,16,05,11,12,09,29,17,30,10,33,12,18,11,10,22,08,18,11,11,17,06,05,21,32,08,03,12,07,07,09,06,27,16,21,28,11,05,03,23,09,12,11,17,22,28,05,25,16,22,23,22,10,05,23,05,13,13,06,05,11,17,09,17,08,09,20,36,19,31,11,05,22,13,06,14,29,14,35,27,20,19,27,23,12,14,15,08,18,10,19,09,15,02,15,14,24,16,21,18,28,18,09,19,23,15,04,26,20,14,08,13,29,08,10,21,22,11,05,10,02,06,21,11,11,28,10,12,21,22,12,31,24,20,13,08,05,09,23,31,15,09,14,29,10,09,05,29,17,09,23,12,24,18,10,31,03,08,18,24,11,06,17,08,25,11,30,07,20,22,11,20,14,24,17,09,29,36,14,08,05,33,12,08,22,07,29,36,17,39,12,11,10,16,14,20,15,19,15,06,12,03,17,12,08,21,24,29,19,18,09,29,11,18,20,09,30,05,22,08,16,06,17,22,14,14,20,11,11,04,11,18,31,15,20,18,03,10,18,12,14,28,36,32,03,24,13,11,17,15,09,11,25,14,20,14,35,12,09,08,10,19,18,06,31,06,04,19,19,08,23,35,15,15,13,12,04,19,13,12,12,03,21,09,15,18
14,19,19,24,20,39,20,11,13,31,18,15,30,27,08,11,22,12,23,36,16,21,27,32,18,28,23,40,43,35,11,14,29,36,13,09,17,15,35,24,12,12,36,06,33,29,22,26,23,03,16,39,26,45,40,26,35,08,22,37,20,27,09,13,26,36,08,31,24,28,30,25,33,28,15,15,30,36,24,08,42,29,29,19,26,28,21,32,24,23,07,32,13,18,27,17,23,28,43,24,38,14,35,31,17,39,33,25,35,14,26,19,41,24,29,22,20,33,33,23,08,26,29,38,45,08,26,28,17,18,17,18,26,25,23,32,21,31,19,13,21,33,23,34,22,45,16,18,23,22,28,33,34,33,22,27,16,24,15,32,31,36,34,36,14,27,15,15,28,20,20,15,12,28,07,28,32,35,17,06,29,12,28,12,16,46,17,23,29,22,10,06,29,15,22,15,20,23,31,19,26,21,26,33,24,11,23,27,12,16,23,09,11,14,49,15,24,16,17,33,42,21,37,38,09,31,14,13,22,42,22,38,33,26,20,28,27,17,15,26,14,22,11,30,16,19,03,23,20,31,26,25,22,32,32,30,28,37,18,09,29,30,19,31,20,32,15,12,22,23,22,13,16,03,07,48,20,15,30,13,29,33,31,35,33,31,24,30,10,13,15,40,45,23,23,34,32,19,33,14,36,25,15,29,19,29,25,21,34,25,12,39,25,19,17,36,16,31,24,38,16,34,29,12,23,29,27,31,19,32,42,26,22,23,39,38,21,38,08,30,39,42,48,29,14,21,26,23,22,16,22,34,16,19,06,24,16,18,33,35,30,38,26,10,36,16,38,33,15,33,14,25,20,30,12,26,26,26,26,21,16,17,17,26,19,45,18,24,28,11,20,34,19,18,32,37,36,20,32,21,21,23,31,34,21,30,19,25,18,41,14,20,11,11,40,24,10,32,09,13,28,30,25,29,38,16,22,27,23,08,31,41,16,24,08,25,11,16,27
